"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"2009","Nationals","59","103","33","694","162","1424.1","5.76","3.97","1.09",".296","67.9 %","44.4 %","10.3 %","5.02","4.82","4.80","4.8"
"2010","Pirates","57","105","31","679","162","1411.2","6.54","3.43","1.06",".311","67.4 %","44.0 %","10.0 %","5.00","4.45","4.35","4.7"
"2012","Cubs","61","101","28","655","162","1413.2","7.18","3.65","1.11",".291","71.3 %","43.2 %","11.8 %","4.51","4.46","4.39","4.6"
"2006","Nationals","71","91","32","679","162","1436.1","6.02","3.66","1.21",".292","69.0 %","39.6 %","10.2 %","5.03","4.97","5.08","4.6"
"2007","Nationals","73","89","46","750","162","1446.2","5.79","3.61","1.16",".286","72.0 %","39.7 %","9.6 %","4.58","4.92","4.93","4.4"
"2008","Pirates","67","95","34","659","162","1455.0","5.96","4.06","1.09",".311","69.5 %","44.0 %","10.8 %","5.10","4.84","4.74","4.4"
"2003","Padres","64","98","31","635","162","1431.1","6.86","3.84","1.31",".289","70.7 %","43.9 %","13.7 %","4.87","4.81","4.47","3.9"
"2008","Orioles","68","93","35","653","161","1422.0","5.84","4.35","1.16",".298","70.1 %","44.6 %","10.7 %","5.15","5.14","5.04","3.7"
"2012","Twins","66","96","35","661","162","1438.2","5.90","2.91","1.24",".294","68.9 %","45.7 %","12.7 %","4.77","4.66","4.46","3.7"
"2010","Diamondbacks","65","97","35","616","162","1432.0","6.72","3.44","1.32",".296","70.1 %","41.8 %","12.0 %","4.81","4.76","4.35","3.5"
"2003","Devil Rays","63","99","30","534","162","1436.2","5.49","4.00","1.23",".278","69.8 %","40.1 %","11.1 %","4.93","5.12","5.13","3.1"
"2003","Tigers","43","119","27","613","162","1438.2","4.78","3.48","1.22",".296","66.5 %","42.5 %","11.6 %","5.32","5.01","4.95","2.9"
"2002","Devil Rays","55","106","25","467","161","1440.1","5.78","3.87","1.34",".296","68.8 %","38.6 %","11.7 %","5.29","5.11","4.94","2.8"
"2013","Astros","51","111","32","610","162","1440.0","6.78","3.85","1.19",".303","70.0 %","43.9 %","11.8 %","4.79","4.67","4.48","2.0"
"2006","Royals","62","100","35","635","162","1426.1","5.70","4.02","1.34",".311","67.1 %","42.2 %","12.1 %","5.67","5.29","5.09","0.5"
